"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Cały projekt napisany jest obiektowo. Logika domeny rozbita została na minimum trzy klasy z odpowiedzialnościami wyodrębnionymi w metodach publicznych i prywatnych. W kodzie nie ma długich funkcji proceduralnych ani powtarzającej się logiki w wielu miejscach.","6","5.1"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Aplikacja zawiera formularz dodawania i edycji głównego zasobu, w którym wykorzystano co najmniej cztery różne typy pól: tekstowe, liczbowe lub datowe, listę wyboru (select lub radio) oraz pole wielowierszowe (textarea) lub checkboxa. Wszystkie dane są walidowane po stronie serwera — kontrolowana jest wymagalność pól, ich długość i poprawność formatu.","5","4.25"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Jeżeli walidacja zwróci błąd, formularz wraca do użytkownika z zachowanymi wcześniej wpisanymi wartościami (z wyjątkiem pól haseł). Użytkownik nie musi wpisywać wszystkiego od nowa — koryguje tylko pola wskazane jako niepoprawne.","3","2.55"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Lista rekordów prezentowana jest w tabeli HTML z czytelnymi nagłówkami kolumn oraz akcjami edycji i usunięcia dostępnymi w każdym wierszu.","3","2.55"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Warstwa logiki (modele, kontrolery, klasy biznesowe) jest wyraźnie oddzielona od warstwy widoku. W szablonach HTML nie ma zapytań SQL ani złożonej logiki biznesowej — widoki służą wyłącznie do prezentacji danych przekazanych z kontrolera.","5","4.25"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Strona ma estetyczny wygląd z własnymi stylami CSS lub frameworkiem CSS z indywidualną customizacją. Kolorystyka jest spójna, typografia czytelna, a poszczególne sekcje aplikacji wyglądają jednolicie.","3","2.55"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Common","Wymagania podstawowe","","Aplikacja udostępnia komplet operacji CRUD (dodawanie, wyświetlanie, edycję i usuwanie) na głównym zasobie wynikającym z tematu projektu.","5","4.25"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Specific","Project-specific","","W ramach tematu projektu aplikacja realizuje następujące funkcjonalności:

1. Administrator może generować raporty dotyczące aktywności użytkowników, statystyk gier, przychodów kasyna, itp.

2. Umożliwienie tworzenia konta z podstawowymi danymi: imię, nazwisko, e-mail, hasło.

3. Ruletka: Użytkownik może wybierać zakłady: na numer, kolor (czarny, czerwony), parzyste/nieparzyste, itp.

4. Jednoręki bandyta: Użytkownik może ustalić wysokość zakładu przed rozpoczęciem gry.","25","21.25"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Specific","Project-specific","","Dane projektu przechowywane są w relacyjnej bazie danych (MySQL, PostgreSQL lub SQLite), a dostęp do bazy realizowany jest przez PDO w stylu obiektowym. Schemat zawiera minimum trzy tabele powiązane kluczami obcymi, w tym jedną relację many-to-many z dedykowaną tabelą łączącą. Aplikacja umożliwia przesyłanie plików powiązanych z rekordami, przy czym usunięcie rekordu powoduje również usunięcie powiązanego pliku z dysku. Każdy rekord otrzymuje automatycznie ustawianą datę utworzenia.","10","8.5"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Specific","Project-specific","","Aplikacja udostępnia rejestrację i logowanie użytkowników. Hasła przechowywane są w postaci hashu (z wykorzystaniem password_hash, bcrypt lub argon2) — nigdy w postaci jawnej. Bez zalogowania użytkownik nie ma dostępu do funkcjonalności aplikacji. System rozróżnia minimum dwie role (np. administrator i zwykły użytkownik) z różnymi poziomami uprawnień. Zalogowany użytkownik może ustawić co najmniej jedną preferencję (motyw, język, domyślne sortowanie itp.), która jest zapamiętywana między kolejnymi wizytami.","10","8.5"
"wprg-0010-8ca56853-2597-4380-97ed-a22a14f3a7c1","project-10","active","85","Specific","Project-specific","","Lista głównych rekordów obsługuje wyszukiwanie pełnotekstowe i filtrowanie po minimum trzech niezależnych kryteriach, paginację wyników oraz sortowanie po wybranej kolumnie wykonywane po stronie serwera. Użytkownik może wyeksportować widoczne dane do pliku w formacie CSV, PDF lub JSON. Aplikacja udostępnia również panel podsumowujący z zagregowanymi danymi (liczba rekordów, sumy, zestawienia). Po wykonaniu operacji użytkownik widzi jednorazowy komunikat zwrotny, a odświeżenie strony po zapisaniu formularza nie powoduje ponownego wysłania danych. Błędy aplikacji (nieistniejący zasób, wewnętrzny błąd serwera) prezentowane są na osobnych, czytelnych stronach zamiast surowych komunikatów interpretera.","10","8.5"
